station_name,location,capacity
1905 Square,"1905 Square, Lenin Ave, Yekaterinburg, Russia",50
Yekaterinburg Railway Station,"Railway Station Square, 22 Vokzalnaya St, Yekaterinburg, Russia",40
Mayakovsky Park,"Central Park, Michurina St, Yekaterinburg, Russia",30
Botanical Garden,"Botanical Street, 8 Botanicheskaya St, Yekaterinburg, Russia",25
Plotinka,"City Pond Dam, Historical Square, Yekaterinburg, Russia",45
Uralmash District,"Cosmonauts Avenue, 45 Prospekt Kosmonavtov, Yekaterinburg, Russia",20
Greenwich Mall,"8th March Street, 46 Ulitsa 8 Marta, Yekaterinburg, Russia",35
Victory Park,"Victory Park, 35 Sheinkmana St, Yekaterinburg, Russia",30
Yeltsin Center,"Boris Yeltsin Street, 3 Ulitsa Borisa Yeltsina, Yekaterinburg, Russia",40
Raduga Park Mall,"Repin Street, 26 Ulitsa Repina, Yekaterinburg, Russia",25